title,location,stack,url
Experienced React and python developer,віддалено,"['SQL', 'Docker', 'Git', 'Requests', 'REST']",https://jobs.dou.ua/companies/windsor-ai/vacancies/226391/
Senior Python Developer (Desktop),Львів,"['OOP', 'Pytest', 'AsyncIO']",https://jobs.dou.ua/companies/ajax-systems/vacancies/260600/
Senior Backend Developer (Python),віддалено,"['SQL', 'Flask', 'REST']",https://jobs.dou.ua/companies/intellias/vacancies/266624/
Senior Backend Engineer,"Львів, віддалено","['SQL', 'REST', 'GraphQL', 'Curio']",https://jobs.dou.ua/companies/simulmedia/vacancies/254996/
Fullstack Developer,віддалено,"['SQL', 'Django', 'Git', 'OOP', 'REST', 'Curio']",https://jobs.dou.ua/companies/ncube/vacancies/266592/
"Python developer (contractor basis, short-term project for 3 months)","Київ, Львів, віддалено",,https://jobs.dou.ua/companies/techmagic/vacancies/266546/
"Middle Python AI Engineer (Generative NLP, AI Agents, Prompting)",віддалено,"['Flask', 'FastAPI', 'TensorFlow', 'PyTorch', 'Scikit-learn']",https://jobs.dou.ua/companies/weblab-technology/vacancies/266545/
QA Automation Engineer,"Київ, Львів, Одеса, за кордоном, віддалено","['Docker', 'Jenkins']",https://jobs.dou.ua/companies/plvision/vacancies/220962/
"Middle Front-end Engineer (experience with Python, EU location)",за кордоном,"['SQL', 'Django', 'SQLAlchemy', 'Redis', 'MySQL', 'RabbitMQ', 'SQLAlchemy', 'Docker', 'Jenkins', 'Git', 'CI/CD', 'REST', 'Django REST']",https://jobs.dou.ua/companies/spd-technology/vacancies/266098/
"Full Stack Engineer (React, Python)","Київ, віддалено","['SQL', 'Django', 'Flask', 'MySQL', 'MongoDB', 'RabbitMQ', 'Jenkins', 'GitHub', 'Git', 'CI/CD', 'Pytest', 'REST']",https://jobs.dou.ua/companies/fractal-analytics/vacancies/266088/
Middle/Senior Backend developer (Python/Web scraping expert),віддалено,"['SQL', 'Git', 'Selenium', 'BeautifulSoup']",https://jobs.dou.ua/companies/ivy-tech/vacancies/266086/
Лектор на курс Python Developer,віддалено,"['SQL', 'Flask', 'Docker', 'Git', 'OOP', 'REST']",https://jobs.dou.ua/companies/chi-it-academy/vacancies/266006/
Data QA,"Київ, віддалено",['SQL'],https://jobs.dou.ua/companies/rozetka-ua-internet-supermarket/vacancies/251466/
Python Developer (Mid-Level) — Engineering Automatization,віддалено,,https://jobs.dou.ua/companies/piche-ltd/vacancies/261506/
BIM developer-programmer (Mid-level),віддалено,['Git'],https://jobs.dou.ua/companies/piche-ltd/vacancies/262313/
Full-Stack Python Developer,віддалено,"['SQL', 'FastAPI', 'REST']",https://jobs.dou.ua/companies/eastern-peak-software/vacancies/265699/
Odoo Python Developer — Contractor/Freelancer,,"['SQL', 'GitHub', 'Git', 'OOP']",https://jobs.dou.ua/companies/sprinterra/vacancies/265661/
Python Developer,віддалено,"['Django', 'REST']",https://jobs.dou.ua/companies/dteam/vacancies/260301/
Python UAV Developer (Only Kyiv location or Relocate),,,https://jobs.dou.ua/companies/quantum/vacancies/246370/
Python Automation QA Engineer (based in Europe),за кордоном,['Pytest'],https://jobs.dou.ua/companies/avenga/vacancies/265190/
AI / ML Python Engineer,віддалено,"['SQL', 'Pandas', 'NumPy', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'MongoDB']",https://jobs.dou.ua/companies/keenethics/vacancies/265138/
Python Developer,віддалено,,https://jobs.dou.ua/companies/managed-code/vacancies/265023/
Mid-Senior Python Developer (DRF/FastAPI),віддалено,"['SQL', 'Django', 'FastAPI', 'Redis', 'Docker', 'REST', 'Django REST']",https://jobs.dou.ua/companies/radity-gmbh/vacancies/265020/
Python developer (Django),Київ,"['SQL', 'Django']",https://jobs.dou.ua/companies/derzhavne-pidpriyemstvo-infoteh/vacancies/264979/
Python Developer,віддалено,"['SQL', 'Django', 'Celery', 'Redis', 'RabbitMQ', 'Docker', 'Git']",https://jobs.dou.ua/companies/zutobi/vacancies/264955/
Django Developer,віддалено,"['SQL', 'Django', 'Flask', 'Celery', 'Redis', 'MySQL', 'MongoDB', 'CI/CD', 'REST']",https://jobs.dou.ua/companies/planeks/vacancies/261768/
Back-end Engineer (Python),віддалено,"['SQL', 'Django', 'Flask', 'Docker', 'Kubernetes', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/hebron-soft/vacancies/264808/
Data Analyst,віддалено,['REST'],https://jobs.dou.ua/companies/sd-solutions/vacancies/260193/
Automation QA Python (Poland),Poland,"['CI/CD', 'Selenium', 'Curio']",https://jobs.dou.ua/companies/lulu-software/vacancies/261590/
Python Tech Lead,"We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine., віддалено","['SQL', 'RabbitMQ', 'CI/CD', 'OOP', 'REST']",https://jobs.dou.ua/companies/planeks/vacancies/247646/
Automation Quality Assurance (Python),"Львів, віддалено","['Jenkins', 'Git', 'CI/CD', 'GitLab', 'Pytest', 'Selenium']",https://jobs.dou.ua/companies/quintagroup/vacancies/264771/
Fullstack Developer (Python + Vue),віддалено,"['SQL', 'Django', 'OOP', 'REST']",https://jobs.dou.ua/companies/fulcrum/vacancies/260894/
Software/DevOps Engineer,віддалено,"['SQL', 'Flask', 'Docker', 'Curio']",https://jobs.dou.ua/companies/data-science-ua/vacancies/264323/
Middle strong/Senior Python developer (with React experience),"Київ, Львів, віддалено","['SQL', 'Django', 'CI/CD', 'OOP']",https://jobs.dou.ua/companies/techmagic/vacancies/264305/
Python Software Engineer,"Київ, віддалено","['SQL', 'MySQL', 'Docker', 'Kubernetes', 'REST']",https://jobs.dou.ua/companies/sps-ukraine/vacancies/264218/
QA Automation Engineer (Networking),"Київ, Харків, Львів, Одеса, за кордоном, віддалено","['Ansible', 'Jenkins']",https://jobs.dou.ua/companies/plvision/vacancies/251628/
Middle Full Stack React/ Node.js/ Python Developer,"Київ, віддалено","['SQL', 'MySQL', 'MongoDB', 'Docker']",https://jobs.dou.ua/companies/delphi-llc/vacancies/263986/
Full Stack Developer (Python+React),віддалено,"['SQL', 'Django', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/codevog/vacancies/256486/
Python Developer (Mentor),віддалено,"['SQL', 'Django', 'Flask', 'SQLAlchemy', 'MySQL', 'SQLAlchemy', 'Docker', 'Git', 'OOP', 'REST', 'Django REST']",https://jobs.dou.ua/companies/foxminded/vacancies/176195/
Middle Python Engineer,"Cascais, Lisbon, Варшава (Польща), віддалено","['SQL', 'FastAPI', 'SQLAlchemy', 'Celery', 'MongoDB', 'RabbitMQ', 'SQLAlchemy', 'Alembic', 'Kubernetes']",https://jobs.dou.ua/companies/umbrelly-cloud/vacancies/263744/
Python dev (part time),"за кордоном, віддалено","['Tornado', 'MongoDB', 'CircleCI', 'Git', 'REST']",https://jobs.dou.ua/companies/geozilla/vacancies/263684/
